judul,clean_text,dataset,file,row_id
Peningkatan Penggunaan Serangan Drone dalam Perang Melawan Teror di Afghanistan Pada Masa Kepemimpinan Presiden Obama,tingkat guna serang drone perang lawan teror afghanistan pimpin presiden obama,etd_ugm,etd_ugm.csv,0
PREDIKSI HARGA APARTEMEN DENGAN MEMPERTIMBANGKAN FAKTOR SOCIO ECONOMIC DAN CRIME RATES DI DKI JAKARTA,prediksi harga apartemen timbang faktor socio economic crime rates dki jakarta,etd_ugm,etd_ugm.csv,1
EFEK PEMBERIAN PROGRAM PENURUNAN BERAT BADAN BERBASIS DIGITAL OBi-MOBi TERHADAP TOTAL ASUPAN KALORI PADA INDIVIDU DEWASA DENGAN KEGEMUKAN DAN OBESITAS,efek beri program turun berat badan bas digital obimobi total asupan kalori individu dewasa gemuk obesitas,etd_ugm,etd_ugm.csv,2
MOBILE BANKING USAGE INTENTION ANALYSIS IN INDONESIA POST COVID-19 A STUDY OF BANK MEGA SYARIAH,mobile banking usage intention analysis indonesia post covid study bank mega syariah,etd_ugm,etd_ugm.csv,3
"Estimasi Volume Tegakan Menggunakan Pemodelan Empiris Berbasis Citra Multisensor dengan Random Forest Regression (Studi kasus: PBPH PT Wana Inti Kahuripan Intiga, Provinsi Kalimantan Tengah)",estimasi volume tega model empiris bas citra multisensor random forest regression studi pbph pt wana inti kahuripan intiga provinsi kalimantan,etd_ugm,etd_ugm.csv,4
Peran Efikasi Diri Terhadap Motivasi Kerja pada Karyawan Part-Time,peran efikasi motivasi kerja karyawan parttime,etd_ugm,etd_ugm.csv,5
Analisis Potensi Peningkatan Kapasitas Beban dan Evaluasi Ekonomi Solar Tracker Sumbu Tunggal dengan Motor Stepper dan Worm Gear untuk Solar Home System,analisis potensi tingkat kapasitas beban evaluasi ekonomi solar tracker sumbu tunggal motor stepper worm gear solar home,etd_ugm,etd_ugm.csv,6
Kehidupan Tunawisma dalam Novel Mukhayyalah al-Khandaris Karya 'Abd al-'Aziz Barakah Sakin dan Hubungannya dengan Masyarakat Sudan: Analisis Sosiologi Sastra,hidup tunawisma novel mukhayyalah alkhandaris karya abd alaziz bara sakin hubung masyarakat sudan analisis sosiologi sastra,etd_ugm,etd_ugm.csv,7
Townhouse dengan Pendekatan New Urbanism di Kota Tangerang Selatan,townhouse dekat new urbanism kota tangerang selatan,etd_ugm,etd_ugm.csv,8
A Comparison Between Linear Regression and Neural Network To Predict Tea Yield Prediction,comparison linear regression neural network predict tea yield prediction,etd_ugm,etd_ugm.csv,9
