judul,clean_text,dataset,file,row_id
PEMAHAMAN KONSEP DAN MOTIVASI PESERTA DIDIK SMP MELALUI PENDEKATAN SAINTIFIK BERBANTUAN TEKNIK  MIND MAPPING DALAM PEMBELAJARAN MATEMATIKA,paham konsep motivasi serta didik smp dekat saintifik bantu teknik mind mapping ajar matematika,etd_usk,etd_usk.csv,0
TINJAUAN HUKUM PEMBUKTIAN KASUS TINDAK PIDANA KORUPSI KARENA PERINTAH ATASAN,tinjau hukum bukti tindak pidana korupsi perintah atas,etd_usk,etd_usk.csv,1
PENGARUH KESESUAIAN INDIVIDU-ORGANISASI DAN KESESUAIAN INDIVIDU-PEKERJAAN TERHADAP KETERIKATAN KERJA YANG DIMEDIASI OLEH KOMITMEN AFEKTIF PADA PERAWAT RSUD RNDR. ZAINOEL ABIDIN BANDA ACEH,pengaruh sesuai individuorganisasi sesuai individupekerjaan ikat kerja mediasi komitmen afektif awat rsud rndr zainoel abidin banda aceh,etd_usk,etd_usk.csv,2
PENGARUH PERKEMBANGAN INFRASTRUKTUR EKONOMI DAN SOSIAL TERHADAP PERTUMBUHAN EKONOMI DI PROVINSI ACEH,pengaruh kembang infrastruktur ekonomi sosial tumbuh ekonomi provinsi aceh,etd_usk,etd_usk.csv,3
PENERAPAN METODE REDUKSI VARIABEL DALAM MENYELESAIKAN MASALAH PEMROGRAMAN LINIER BILANGAN BULAT MURNI,terap metode reduksi variabel selesai pemrograman linier bilang bulat murni,etd_usk,etd_usk.csv,4
HUBUNGAN ANTARA MINDFULNESS DENGAN KECEMASAN AKAN KEMATIAN PADA DEWASA MADYA,hubung mindfulness cemas mati dewasa madya,etd_usk,etd_usk.csv,5
RASIONALITAS JANJI POLITIK AMINULLAH USMAN TERKAIT RASKIN DALAM PILKADA,rasionalitas janji politik aminullah usman kait raskin pilkada,etd_usk,etd_usk.csv,6
ANALISIS PERAN DINAS KESEHATAN DALAM PENGAWASAN KUALITAS AIR MINUM ISI ULANG DI KOTA BANDA ACEH,analisis peran dinas sehat awas kualitas air minum isi ulang kota banda aceh,etd_usk,etd_usk.csv,7
GAMBARAN SITOLOGI ULAS VAGINA KUDA LOKAL YANG MENDERITA PYOMETRA DI KABUPATEN ACEH TENGAH,gambar sitologi ulas vagina kuda lokal derita pyometra kabupaten aceh,etd_usk,etd_usk.csv,8
PENERAPAN MODEL DISCOVERY LEARNING BERBANTUAN SOFTWARE GEOGEBRA UNTUK MENINGKATKAN KEMAMPUAN BERPIKIR KRITIS SISWA SMP,terap model discovery learning bantu software geogebra tingkat mampu pikir kritis siswa smp,etd_usk,etd_usk.csv,9
PENGARUH PERSEPSI NILAI DAN KEPUASAN WISATAWAN DALAM MEMEDIASI HUBUNGAN ANTARA CITRA DESTINASI WISATA TERHADAP LOYALITAS WISATAWAN UNTUK BERKUNJUNG KE PULAU WEH,pengaruh persepsi nilai puas wisatawan mediasi hubung citra destinasi wisata loyalitas wisatawan kunjung pulau weh,etd_usk,etd_usk.csv,10
PENGGUNAAN SAPAAN KEKERABATAN DALAM BAHASA DEVAYAN DI KECAMATAN SIMEULUE CUT,guna sapa kerabat bahasa devayan camat simeulue cut,etd_usk,etd_usk.csv,11
PENGARUH MODEL PEMBELAJARAN TALKING CHIPS  TERHADAP HASIL BELAJAR DAN MOTIVASI BELAJAR PESERTA DIDIK PADA MATERI SISTEM REPRODUKSI MANUSIA DI MAN 4 ACEH BESAR,pengaruh model ajar talking chips hasil ajar motivasi ajar serta didik materi sistem reproduksi manusia man aceh,etd_usk,etd_usk.csv,12
ETNOFARMASI UNTUK MENINGKATKAN IMUNITAS PADA MASYARAKAT DI KECAMATAN TANGAN-TANGAN KABUPATEN ACEH BARAT DAYA,etnofarmasi tingkat imunitas masyarakat camat tangantangan kabupaten aceh barat daya,etd_usk,etd_usk.csv,13
DNA BARCODING ENAM JENIS TANAMAN OBAT SUKU ZINGIBERACEAE MENGGUNAKAN GEN INTERNAL TRANSCRIBED SPACER (ITS),dna barcoding enam jenis tanam obat suku zingiberaceae gen internal transcribed spacer,etd_usk,etd_usk.csv,14
ANALISIS DEFISIENSI KESELAMATAN JALAN PADA RNLOKASI RAWAN KECELAKAAN DI JALAN NASIONAL RNKABUPATEN ACEH TIMUR,analisis defisiensi selamat jalan rnlokasi rawan celaka jalan nasional rnkabupaten aceh timur,etd_usk,etd_usk.csv,15
PENGUJIAN LOSS AVERSION INVESTOR DI BURSA EFEK INDONESIA (STUDI PADA PERUSAHAAN INDEKS KOMPAS100 YANG TERCATAT DI BURSA EFEK INDONESIA),uji loss aversion investor bursa efek indonesia studi usaha indeks kompas catat bursa efek indonesia,etd_usk,etd_usk.csv,16
PENGARUH KARAKTERISTIK RUMAH TANGGA MISKIN DAN TIDAK MISKIN TERHADAP INDEKS PEMBANGUNAN MANUSIA DI INDONESIA,pengaruh karakteristik rumah tangga miskin miskin indeks bangun manusia indonesia,etd_usk,etd_usk.csv,17
PELAKSANAAN SUPERVISI KLINIS DALAM MENINGKATKAN KEMAMPUAN GURU PADA PEMBELAJARAN PENDIDIKAN AGAMA ISLAM DI SD KOTA BANDA ACEH,laksana supervisi klinis tingkat mampu guru ajar didik agama islam sd kota banda aceh,etd_usk,etd_usk.csv,18
PENGGUNAAN HANDOUT BERBASIS GUIDED NOTE TAKING PADA PEMBELAJARAN SEJARAH UNTUK MENINGKATKAN PRESTASI BELAJAR SISWA KELAS XI IPS MAN 2 BIREUEN,guna handout bas guided note taking ajar sejarah tingkat prestasi ajar siswa kelas xi ips man bireuen,etd_usk,etd_usk.csv,19
PENGARUH MANAGERIAL OVERCONFIDENCE TERHADAP PENGUNGKAPAN CORPORATE SOCIAL RESPONSIBILITY DALAM UPAYA MENINGKATKAN NILAI PERUSAHAAN (STUDI PADA PERUSAHAAN NONKEUANGAN DI INDONESIA),pengaruh managerial overconfidence ungkap corporate social responsibility upaya tingkat nilai usaha studi usaha nonkeuangan indonesia,etd_usk,etd_usk.csv,20
EVALUASI KENYAMANAN TERMAL PADA RESTAURANT PANTAI LAMPUUK,evaluasi nyaman termal restaurant pantai lampuuk,etd_usk,etd_usk.csv,21
ANALISIS IMPLEMENTASI SISTEM RUJUKAN PASIEN BPJS DI PUSKESMAS KABUPATEN PIDIE,analisis implementasi sistem rujuk pasien bpjs puskesmas kabupaten pidie,etd_usk,etd_usk.csv,22
