judul,clean_text,dataset,file,row_id
"Xiaomi Rilis Mijia Smart Audio Glasses 2, Kacamata Pintar yang Ramping",xiaomi rilis mijia smart audio glasses kacamata pintar ramping,kompas,kompas.csv,0
"Saham Apple, Amazon, Nvidia Melonjak Serentak, Magnificent 7 Panen Rp 13.800 Triliun",saham apple amazon nvidia lonjak serentak magnificent panen rp triliun,kompas,kompas.csv,1
"Modus Pencabulan Berkedok Pengobatan di Bekasi, Klaim Bisa Sembuhkan Penyakit Dalam",modus cabul kedok obat bekas klaim sembuh sakit,kompas,kompas.csv,2
Dampak Penggunaan Obat Antibiotik Berulang pada Anak,dampak guna obat antibiotik ulang anak,kompas,kompas.csv,3
Begini Cara Urus Sertifikat Apartemen,urus sertifikat apartemen,kompas,kompas.csv,4
"Pemerintah Klaim Beras Surplus dan Ingin Ekspor, Pengusaha Minta Hitung Ulang",perintah klaim beras surplus ekspor usaha hitung ulang,kompas,kompas.csv,5
"5 Manfaat Media Monitoring Bisnis, Salah Tahunya Bisa Tahu Reputasi",manfaat media monitoring bisnis salah tahu reputasi,kompas,kompas.csv,6
"Posko Ormas di Matraman Jadi Pos Kamling, Warga Lebih Nyaman",posko ormas matraman pos kamling warga nyaman,kompas,kompas.csv,7
Cek Jadwal dan Lokasi SIM Keliling di Jakarta Hari Minggu Ini,cek jadwal lokasi sim keliling jakarta minggu,kompas,kompas.csv,8
"Mulai 15 Mei 2025 Ada Penyesuaian Tarif Jalan Tol Kunciran-Serpong, Simak Rinciannya",mei sesuai tarif jalan tol kunciranserpong simak rinciannya,kompas,kompas.csv,9
"5 Cara Usir Lalat Buah Pakai Bahan Dapur, Tanpa Meracuni Makanan",usir lalat buah pakai bahan dapur racun makan,kompas,kompas.csv,10
Serunya Memacu Adrenalin di River Tubing Pusur Adventure Klaten,seru pacu adrenalin river tubing pusur adventure klaten,kompas,kompas.csv,11
"Siapa yang Membayar Pecalang, Petugas Keamanan di Bali?",bayar calang tugas aman bal,kompas,kompas.csv,12
"Truk TNI Bermuatan Amunisi Meledak di Tol Gempol, Bawa Granat Tangan dan Peluru Kaliber Kecil",truk tni muat amunisi ledak tol gempol bawa granat tangan peluru kaliber,kompas,kompas.csv,13
"Como Kehilangan Assane Diao, Fabregas Tak Perlu Terlalu Cemas",como hilang assane diao fabregas cemas,kompas,kompas.csv,14
Piramida Misterius Berusia 2.200 Tahun Ditemukan di Dekat Laut Mati,piramida misterius usia temu laut mati,kompas,kompas.csv,15
Kumpulan Ucapan Hari Kartini 2025 untuk Ibu hingga Guru,kumpul ucap kartini guru,kompas,kompas.csv,16
Pemerintah Bakal Umumkan UN Versi Baru Digelar November Tahun Ini,perintah umum versi gelar november,kompas,kompas.csv,17
"Harga Emas Antam, UBS, dan Galeri-24 Hari Ini 8 Mei 2025 di Pegadaian",harga emas antam ubs galeri mei gadai,kompas,kompas.csv,18
50 Ucapan Hari Waisak 2025 dalam Bahasa Inggris dan Bahasa Indonesia,ucap waisak bahasa inggris bahasa indonesia,kompas,kompas.csv,19
Seberapa Besar Planet Jupiter?,planet jupiter,kompas,kompas.csv,20
"Ahli Nasab Dunia Kumpul di Brebes, Bahas Keturunan Wali Songo",ahli nasab dunia kumpul brebes bahas turun wali songo,kompas,kompas.csv,21
KAI Properti Fokus Terapkan Kepatuhan Hukum dan Tata Kelola yang Baik,kai properti fokus terap patuh hukum tata kelola,kompas,kompas.csv,22
"Prabowo Lakukan Perombakan Kabinet Pertama, Apa Itu Reshuffle Kabinet?",prabowo laku ombak kabinet reshuffle kabinet,kompas,kompas.csv,23
"PLN Hadirkan Diskon Tambah Daya 50 Persen, Ini Cara Mendapatkannya",pln hadir diskon daya persen dapat,kompas,kompas.csv,24
"Dewi Lanjar, Penguasa Laut Utara Jawa",dewi lanjar kuasa laut utara jawa,kompas,kompas.csv,25
"Wall Street Hari Ini, Saham Raksasa Teknologi Kian Menguat",wall street saham raksasa teknologi kian kuat,kompas,kompas.csv,26
"Waspada Cuaca Ekstrem di Makkah, Ini Imbauan untuk Jemaah Haji Indonesia",waspada cuaca ekstrem makkah imbau jemaah haji indonesia,kompas,kompas.csv,27
Taman Safari Prigen Tegur Pengunjung yang Keluar Mobil di Area Kuda Nil,taman safari prigen tegur unjung mobil area kuda nil,kompas,kompas.csv,28
Gus Ipul: Saya Terus Terang Tak Punya Kemampuan Pimpin PPP,gus ipul terang mampu pimpin ppp,kompas,kompas.csv,29
"Paus Baru Terpilih Kelahiran Amerika Serikat, Trump Sambut Gembira dan Ingin Bertemu",paus pilih lahir amerika serikat trump sambut gembira temu,kompas,kompas.csv,30
Prabowo Tegaskan Tak Gentar Lawan Korupsi meski Ada Ancaman terhadap Aparat,prabowo tegas gentar lawan korupsi ancam aparat,kompas,kompas.csv,31
"5 Fakta Unik Kucing Tuxedo, Salah Satu Kucing Terkaya di Dunia",fakta unik kucing tuxedo salah kucing kaya dunia,kompas,kompas.csv,32
Respons GRIB Jaya Usai Anggotanya Ditangkap karena Kasus Pemalakan,respons grib jaya anggota tangkap mala,kompas,kompas.csv,33
"Socrates, Bapak Filsafat Barat yang Dituduh Merusak Generasi Muda",socrates filsafat barat tuduh rusak generasi muda,kompas,kompas.csv,34
4 Cara Paling Ampuh untuk Membasmi Kecoak di Rumah,ampuh basmi kecoak rumah,kompas,kompas.csv,35
