judul,clean_text,dataset,file,row_id
7 Lagu Anime yang Pasti Bikin Kamu Makin Semangat,lagu anime bikin semangat,mojok,mojok.csv,0
Dilema Penduduk Ketapang: Dominasi Lion Air yang Meresahkan,dilema duduk ketapang dominasi lion air resah,mojok,mojok.csv,1
5 Hal yang Tidak Boleh Dilakukan Pengendara Motor di Sepanjang Jalan Jogja-Solo,kendara motor jalan jogjasolo,mojok,mojok.csv,2
"Ironi Situbondo: Kotanya Sepi, Bupatinya Jadi Tersangka Korupsi",ironi situbondo kota sepi bupati sangka korupsi,mojok,mojok.csv,3
User Experience: MacBook Air dan Pro Masih Alat Kerja Paling Bagus DIbanding Laptop Windows,user experience macbook air pro alat kerja bagus banding laptop windows,mojok,mojok.csv,4
"Meluruskan Salah Kaprah Terkait IAHN Gde Pudja Mataram, Satu-satunya Kampus Hindu Negeri yang Ada di Lombok",lurus salah kaprah kait iahn gde pudja mataram satusatunya kampus hindu negeri lombok,mojok,mojok.csv,5
"Boga Group Rekrut Lansia Bekerja, Tampar Perusahaan yang Hanya Mau Rekrut Karyawan dengan Kriteria di Bawah Usia 30 tahun",boga group rekrut lansia tampar usaha rekrut karyawan kriteria usia,mojok,mojok.csv,6
"Jembatan Aborsi, Contoh Nyata Beratnya Perjuangan Kuliah di UI",jembatan aborsi contoh nyata berat juang kuliah ui,mojok,mojok.csv,7
"Ikut Organisasi Mahasiswa Itu Sah-sah Saja, asal Siap Keluar Duit Lumayan",organisasi mahasiswa sahsah duit lumayan,mojok,mojok.csv,8
"Cerita Tukang Fotokopi Jadi Saksi Mahasiswa UGM Merampungkan Skripsinya dalam Semalam, Berjasa Bantu Benerin Typo dan Layout yang Masih Amburadul",cerita tukang fotokopi saksi mahasiswa ugm rampung skripsi malam jasa bantu benerin typo layout amburadul,mojok,mojok.csv,9
5 Pertanyaan yang Membuat Orang Jogja Kesal,orang jogja kesal,mojok,mojok.csv,10
Ketiduran di Kuburan karena Ulah Ojol Gaib,tidur kubur ulah ojol gaib,mojok,mojok.csv,11
"Perempuan, Makhluk yang Punya Banyak Alasan untuk Malas Servis Motor",perempuan makhluk alas malas servis motor,mojok,mojok.csv,12
"Anak Muda Butuh Olimpiade Indonesia Cerdas, Acara Kuis Edukatif yang Kini Tinggal Nama",anak muda butuh olimpiade indonesia cerdas acara kuis edukatif tinggal nama,mojok,mojok.csv,13
Hal-hal yang Perlu Diluruskan tentang GKB Gresik biar Nggak Salah Kaprah,halhal lurus gkb gresik biar nggak salah kaprah,mojok,mojok.csv,14
"Nekat Kos Dekat Kali Code Jogja Mandinya di Pom Bensin karena Air Kos Bau, Semua Demi Lolos Seleksi di UNS",nekat kos kali code jogja mandi pom bensin air kos bau lolos seleksi uns,mojok,mojok.csv,15
"Dosen Numpang Nama di Jurnal, Vampir Akademik Pengisap Darah Mahasiswa yang Banting Badan demi Kelulusan",dosen numpang nama jurnal vampir akademik isap darah mahasiswa banting badan kelulus,mojok,mojok.csv,16
"Kalau Atlet Indonesia Jadi Bintang Iklan Sosis So Nice, Masalahnya Apa?",atlet indonesia bintang iklan sosis nice,mojok,mojok.csv,17
4 Kuliner Jogja yang Kurang Cocok di Lidah Wisatawan,kuliner jogja cocok lidah wisatawan,mojok,mojok.csv,18
"Mahasiswa UII dan Amikom Jadi “Langganan” ke Bengkel, Gara-gara Jalan Ringin Raya Sleman Rusak Parah Menahun",mahasiswa uii amikom langgan bengkel garagara jalan ringin raya sleman rusak parah tahun,mojok,mojok.csv,19
Kisah Santet Pak Guru yang Ketahuan Lewat Isi Perut Sapi,kisah santet guru tahu isi perut sapi,mojok,mojok.csv,20
Odegaard Bukan Pemimpin Arsenal yang Baik,odegaard pimpin arsenal,mojok,mojok.csv,21
"Mengerjakan Skripsi Itu Nggak Sulit, Jauh Lebih Sulit Mengurus Berkas Kelulusan Mahasiswa!",skripsi nggak sulit sulit urus berkas kelulus mahasiswa,mojok,mojok.csv,22
"Cerita Fatur, Mahasiswa Tunanetra yang Hobi Merantau, Membaca Buku, dan Main Catur",cerita fatur mahasiswa tunanetra hobi rantau baca buku main catur,mojok,mojok.csv,23
"Mahasiswa Masih Nungguin Uang Kiriman dari Orang Tua Aja Sok-sokan Punya Paylater, buat Apa?",mahasiswa nungguin uang kirim orang tua aja soksokan paylater,mojok,mojok.csv,24
"Tomoro Coffee, Pendatang Baru di Bondowoso: Jadi Ancaman Atau Peluang Eksistensi Kopi Ijen?",tomoro coffee datang bondowoso ancam peluang eksistensi kopi ijen,mojok,mojok.csv,25
Paiton Probolinggo yang Menyedihkan: Ketika Kehidupan Si Kaya dan Si Miskin Sangat Kontras dan Memprihatinkan,paiton probolinggo sedih hidup si kaya si miskin kontras prihatin,mojok,mojok.csv,26
Kisah Alumnus Polinema Ajak Ibu-ibu Rumah Tangga “Menyulap” Tempe hingga Mencari Hibah Sampai ke Hongkong,kisah alumnus polinema ajak ibuibu rumah tangga sulap tempe cari hibah hongkong,mojok,mojok.csv,27
"5 Sifat Pengusaha Sukses yang Terlihat di Pribadi Mail Upin Ipin. Dia Kreatif, Berani, Hingga Sayang Orang Tua",sifat usaha sukses pribadi mail upin ipin kreatif berani sayang orang tua,mojok,mojok.csv,28
"14 Istilah Rekrutmen yang Ndakik-ndakik, padahal Maknanya Sederhana",istilah rekrutmen ndakikndakik makna sederhana,mojok,mojok.csv,29
Review Honda PCX 150 setelah 5 Tahun: Motor Biadab!,review honda pcx motor biadab,mojok,mojok.csv,30
8 Lagu dari Musisi Indonesia yang Asyik buat Belajar Bahasa Inggris,lagu musisi indonesia asyik ajar bahasa inggris,mojok,mojok.csv,31
